book_title;book_author;book_publishing;book_new_price;book_old_price;book_discount;book_status 
Язык и среда программирования R. Учебное пособие;Золотарюк Анатолий Васильевич;ИНФРА-М : Высшее образование. Бакалавриат;1175;1678;30;На складе
Прагматичный ИИ. Машинное обучение и облачные технологии;Гифт Ной;Питер : Для профессионалов;1349;1730;22;На складе
Самоучитель системного администратора;Кенин Александр Михайлович;BHV : Системный администратор;794;1134;30;На складе
Внедрение Splunk 7;Миллер Джеймс;Нет издательства;1945;2779;30;На складе
Java за 24 часа;Кейденхед Роджерс;Нет издательства;969;1384;30;На складе
Машинное обучение и TensorFlow;Шакла Нишант;Питер : Библиотека программиста;1297;1663;22;На складе
Spring. Все паттерны проектирования;Раджпут Динеш;Питер : Библиотека программиста;1728;2216;22;На складе
Дискретная математика. Учимся программировать в Wolfram Mathematica;Фридман Григорий Морицович;Питер : Учебник для вузов;807;1035;22;На складе
Большие данные. Принципы и практика построения масштабируемых систем обработки данных в реальном вр.;Марц Натан;Нет издательства;1814;2592;30;На складе
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1;Горелов Сергей Витальевич;Нет издательства;998;1426;30;На складе
Основы технологий баз данных. Учебное пособие;Новиков Борис Асенович;Нет издательства;897;1282;30;На складе
Mathematica 5/6/7. Полное руководство;Дьяконов Владимир Павлович;ДМК-Пресс : Математика и Matlab;1285;1835;30;На складе
Простой Python просто с нуля;Гаско Рик;Солон-пресс : Программирование;602;860;30;На складе
Управление программными проектами. Стандарты, модели;Ехлаков Юрий Поликарпович;Лань : Компьютеры и программное обеспечение;1768;2526;30;На складе
Моделирование объектов управления в MatLab. Учебное пособие;Затонский Андрей Владимирович;Лань : Учебники для вузов. Специальная литература;1252;1789;30;На складе
Основы алгоритмизации и программирования. Практикум. ФГОС;Серкова Екатерина Геннадьевна;Феникс : Среднее профессиональное образование;459;589;22;На складе
Программирование на C# для начинающих. Особенности языка;Васильев Александр Николаевич;Бомбора : Российский компьютерный бестселлер;861;1104;22;На складе
Архитектура вычислительных систем и Ассемблер;Гагарина Лариса Геннадьевна;Солон-пресс : Библиотека студента;767;1095;30;На складе
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие;Милорадов Константин Александрович;РИОР : Высшее образование;748;1069;30;На складе
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие;Милорадов Константин Александрович;РИОР : Среднее профессиональное образование;767;1095;30;На складе
Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие;Винарский Яков Самуилович;ИНФРА-М : Среднее профессиональное образование;1561;2230;30;На складе
Суперкомпьютерные вычисления: практический подход;Борзунов Сергей Викторович;BHV : Учебник для ВУЗов;547;782;30;На складе
Java. Эффективное программирование;Блох Джошуа;Нет издательства;2419;3456;30;На складе
Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5;Никсон Робин;Питер : Бестселлеры O`Reilly;1617;2073;22;На складе
DevOps для ИТ-менеджеров;Скрынник Олег;Нет издательства;983;1404;30;На складе
Kubernetes в действии;Лукша Марко;Нет издательства;2141;3059;30;На складе
Смарт-карты и информационная безопасность;Мытник Константин Яковлевич;ДМК-Пресс : Безопасность и защита;1428;2040;30;На складе
CSS. Карманный справочник;Мейер Эрик;Нет издательства;731;1044;30;На складе
Изучаем регулярные выражения;Форта Бен;Нет издательства;494;706;30;На складе
Пользовательские истории. Гибкая разработка программного обеспечения;Кон Майк;Нет издательства;2668;3811;30;На складе
Vue.js в действии;Хэнчетт Эрик;Питер : Библиотека программиста;1355;1737;22;На складе;HTML и CSS. Разработка и дизайн веб-сайтов;Дакетт Джон;Эксмо : Мировой компьютерный бестселлер;1397;1791;22;На складе;Искусство программирования на R. Погружение в большие данные;Мэтлофф Норман;Питер : Библиотека программиста;1185;1519;22;На складе;Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ;Шакин Виктор Николаевич;Форум : Среднее профессиональное образование;1978;2826;30;Ограничено;Алгоритмизация и программирование. Практикум. Учебное пособие;Андрианова Анастасия Александровна;Лань : Учебники для вузов. Специальная литература;1517;2167;30;Ограничено;Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие;Апанасевич Сергей Александрович;Лань : Учебники для вузов. Специальная литература;1184;1691;30;На складе;Самоучитель игры на Паскале. ABC и немного Турбо;Комлев Николай Юрьевич;Солон-пресс : Библиотека студента;664;949;30;На складе;HTML5 и CSS3 для чайников;Титтел Эд;"Диалектика : Для ""чайников""";1210;1728;30;На складе;Создание веб-сайта для чайников;Кроудер Дэвид;"Диалектика : Для ""чайников""";969;1384;30;На складе;Алгоритмические трюки для программистов;Уоррен Генри С.;Нет издательства;1814;2592;30;На складе;Unity и C#. Геймдев от идеи до реализации;Бонд Джереми Гибсон;Питер : Для профессионалов;2553;3273;22;На складе;PostgreSQL 11. Мастерство разработки;Шениг Ганс-Юрген;Нет издательства;1428;2040;30;На складе;Распределенные системы. Паттерны проектирования;Бернс Брендан;Питер : Бестселлеры O`Reilly;913;1171;22;На складе;Django 2.1. Практика создания веб-сайтов на Python;Дронов Владимир Александрович;BHV : Профессиональное программирование;1011;1444;30;На складе;TensorFlow для глубокого обучения;Рамсундар Бхарат;Нет издательства;631;902;30;На складе;CSS для профи;Грант Кит;Питер : Библиотека программиста;1597;2048;22;На складе;Разработка АСУТП в среде WinCC. Учебное пособие;Иванов Виктор Эдуардович;Нет издательства;1628;2326;30;На складе;Автоматизация программируемых сетей;Эделман Джейсон;Нет издательства;2141;3059;30;На складе;"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие";Дадян Эдуард Григорьевич;ИНФРА-М : Высшее образование. Бакалавриат;2050;2929;30;На складе;Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие;Шакин Виктор Николаевич;Форум : Среднее профессиональное образование;2304;3292;30;На складе;Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие;Федотов Александр Александрович;Лань : Учебники для вузов. Специальная литература;594;849;30;На складе;Язык программирования С++. Специальное издание;Страуструп Бьерн;Нет издательства;1378;1968;30;На складе;Изучаем pandas;Хейдт Майкл;Нет издательства;2705;3864;30;На складе;Умные мобильные проекты с TensorFlow;Танг Джефф;ДМК-Пресс : Машинное обучение;1428;2040;30;На складе;C++. Полное руководство. Классическое издание;Шилдт Герберт;Нет издательства;3025;4322;30;На складе;Spring 5 для профессионалов;Шефер Крис;Нет издательства;4840;6914;30;На складе;Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта;Джоши Пратик;Нет издательства;2419;3456;30;На складе;Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры;Келлехер Джон Д.;Нет издательства;3025;4322;30;На складе;Разработка SCADA-систем. Учебное пособие;Кангин Владимир Венедиктович;Нет издательства;1787;2553;30;На складе;Прикладной анализ текстовых данных на Python. Машинное обучение и создание приложений обработки;Бенгфорт Бенджамин;Питер : Бестселлеры O`Reilly;1129;1447;22;На складе;Язык и среда программирования R. Учебное пособие;Золотарюк Анатолий Васильевич;ИНФРА-М : Высшее образование. Бакалавриат;1175;1678;30;На складе;Прагматичный ИИ. Машинное обучение и облачные технологии;Гифт Ной;Питер : Для профессионалов;1349;1730;22;На складе;Самоучитель системного администратора;Кенин Александр Михайлович;BHV : Системный администратор;794;1134;30;На складе;Внедрение Splunk 7;Миллер Джеймс;Нет издательства;1945;2779;30;На складе;Java за 24 часа;Кейденхед Роджерс;Нет издательства;969;1384;30;На складе;Машинное обучение и TensorFlow;Шакла Нишант;Питер : Библиотека программиста;1297;1663;22;На складе;Spring. Все паттерны проектирования;Раджпут Динеш;Питер : Библиотека программиста;1728;2216;22;На складе;Дискретная математика. Учимся программировать в Wolfram Mathematica;Фридман Григорий Морицович;Питер : Учебник для вузов;807;1035;22;На складе;Большие данные. Принципы и практика построения масштабируемых систем обработки данных в реальном вр.;Марц Натан;Нет издательства;1814;2592;30;На складе;Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1;Горелов Сергей Витальевич;Нет издательства;998;1426;30;На складе;Основы технологий баз данных. Учебное пособие;Новиков Борис Асенович;Нет издательства;897;1282;30;На складе;Mathematica 5/6/7. Полное руководство;Дьяконов Владимир Павлович;ДМК-Пресс : Математика и Matlab;1285;1835;30;На складе;Простой Python просто с нуля;Гаско Рик;Солон-пресс : Программирование;602;860;30;На складе;Управление программными проектами. Стандарты, модели;Ехлаков Юрий Поликарпович;Лань : Компьютеры и программное обеспечение;1768;2526;30;На складе;Моделирование объектов управления в MatLab. Учебное пособие;Затонский Андрей Владимирович;Лань : Учебники для вузов. Специальная литература;1252;1789;30;На складе;Основы алгоритмизации и программирования. Практикум. ФГОС;Серкова Екатерина Геннадьевна;Феникс : Среднее профессиональное образование;459;589;22;На складе;Программирование на C# для начинающих. Особенности языка;Васильев Александр Николаевич;Бомбора : Российский компьютерный бестселлер;861;1104;22;На складе;Архитектура вычислительных систем и Ассемблер;Гагарина Лариса Геннадьевна;Солон-пресс : Библиотека студента;767;1095;30;На складе;Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие;Милорадов Константин Александрович;РИОР : Высшее образование;748;1069;30;На складе;Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие;Милорадов Константин Александрович;РИОР : Среднее профессиональное образование;767;1095;30;На складе;Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие;Винарский Яков Самуилович;ИНФРА-М : Среднее профессиональное образование;1561;2230;30;На складе;Суперкомпьютерные вычисления: практический подход;Борзунов Сергей Викторович;BHV : Учебник для ВУЗов;547;782;30;На складе;Java. Эффективное программирование;Блох Джошуа;Нет издательства;2419;3456;30;На складе;Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5;Никсон Робин;Питер : Бестселлеры O`Reilly;1617;2073;22;На складе;DevOps для ИТ-менеджеров;Скрынник Олег;Нет издательства;983;1404;30;На складе;Kubernetes в действии;Лукша Марко;Нет издательства;2141;3059;30;На складе;Смарт-карты и информационная безопасность;Мытник Константин Яковлевич;ДМК-Пресс : Безопасность и защита;1428;2040;30;На складе;CSS. Карманный справочник;Мейер Эрик;Нет издательства;731;1044;30;На складе;Изучаем регулярные выражения;Форта Бен;Нет издательства;494;706;30;На складе;Пользовательские истории. Гибкая разработка программного обеспечения;Кон Майк;Нет издательства;2668;3811;30;На складе
Разработка игр и теория развлечений;Костер Рэф;Нет издательства;1142;1631;30;На складе
Site Reliability Engineering. Надежность и безотказность как в Google;Бейер Бетси;Питер : Бестселлеры O`Reilly;1630;2090;22;На складе
Akka в действии;Рестенбург Раймонд;Нет издательства;1428;2040;30;На складе
Чистый Python. Тонкости программирования для профи;Бейдер Дэн;Питер : Библиотека программиста;1168;1498;22;На складе
Теория измеримых множеств и мультимножеств;Петровский Алексей Борисович;Нет издательства;804;1149;30;На складе
Введение в распределенное моделирование в среде NetLogo;Ершов Николай Михайлович;Нет издательства;1285;1835;30;На складе
Искусственный интеллект .NET. Речь, язык и поиск;Патак Нишит;Нет издательства;1142;1631;30;На складе
Элегантный SciPy;Нуньес-Иглесиас Хуан;Нет издательства;1356;1937;30;На складе
Изучаем Java EE. Современное программирование для больших предприятий;Дашнер Себастьян;Питер : Для профессионалов;1110;1423;22;На складе
Стандартная библиотека Python 3. Справочник с примерами;Хеллман Даг;Нет издательства;3630;5186;30;Ограничено
Олимпиадное программирование;Лааксонен Антти;Нет издательства;1142;1631;30;На складе
Язык декларативного программирования XAML;Подбельский Вадим Валерьевич;Нет издательства;1070;1529;30;На складе
Математика на Python. Часть 1. Элементы линейной алгебры;Александрова Ирина Александровна;Нет издательства;417;596;30;На складе
Облачные технологии поддержки решения задач анализа безубыточности. Монография;Смирнов Денис Евгеньевич;Нет издательства;376;537;30;На складе
Прикладное программирование на С/С++: с нуля;Иванов Всеволод Борисович;Солон-пресс : Программирование;694;991;30;На складе
Программист-фанатик;Фаулер Чед;Питер : Библиотека программиста;686;879;22;На складе
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов;Прайс Марк Дж.;Питер : Библиотека программиста;1748;2241;22;На складе
Компьютерные вирусы и антивирусы: взгляд программиста;Климентьев Константин Евгеньевич;ДМК-Пресс : Профессиональное программирование;1142;1631;30;На складе
Практическая статистика для специалистов Data Science. 50 важнейших понятий;Брюс Питер;Нет издательства;631;902;30;На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Лань : Учебники для вузов. Специальная литература;995;1422;30;На складе
Программная инженерия. Учебное пособие;Маран Микхель Михкелевич;Лань : Учебники для вузов. Специальная литература;1749;2498;30;Ограничено
Программирование на C# для начинающих. Основные сведения;Васильев Алексей Николаевич;Бомбора : Российский компьютерный бестселлер;1057;Нет старой цены;Нет скидки;На складе
Объектно-ориентированное проектирование: концепции и программный код;Гаст Хольгер;Нет издательства;3630;5186;30;Ограничено
Хакинг. Искусство эксплойта;Эриксон Джон;Нет издательства;1563;2004;22;На складе
Глубокое обучение на Python;Шолле Франсуа;Питер : Библиотека программиста;1060;1359;22;На складе
C# 7.0. Справочник. Полное описание языка;Албахари Джозеф;Нет издательства;3025;4322;30;На складе
Идеальный программист. Как стать профессионалом разработки ПО;Мартин Роберт С.;Нет издательства;660;846;22;На складе
Python. Разработка на основе тестирования;Персиваль Гарри;Нет издательства;2141;3059;30;На складе
Чистый код. Создание, анализ и рефакторинг;Мартин Роберт С.;Нет издательства;718;921;22;На складе
Qt 5.10. Профессиональное программирование на C++;Шлее Макс;BHV : В подлиннике;1376;1966;30;На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику;Феррейра Фило Владстон;Питер : Библиотека программиста;682;874;22;На складе
Паттерны проектирования на платформе .NET;Тепляков Сергей;Нет издательства;682;874;22;На складе
Линейная алгебра и линейное программирование для экономистов. Учебник;Швед Евгений Вадимович;Кнорус : Бакалавриат;1058;1512;30;На складе
Программирование на Ардуино. От простого к сложному;Мамичев Дмитрий Иванович;Солон-пресс : Радиоэлектроника;557;796;30;На складе
Unity для разработчика. Мобильные мультиплатформенные игры;Мэннинг Джон;Питер : Бестселлеры O`Reilly;835;1070;22;Ограничено
Запускаем Ansible;Хохштейн Лорин;Нет издательства;1428;2040;30;На складе
Современный Java. Рецепты программирования;Коузен Кен;Нет издательства;1142;1631;30;На складе
Сам себе программист. Как научиться программировать и устроиться в Ebay?;Альтхофф Кори;Бомбора : Мировой компьютерный бестселлер;610;782;22;На складе
Программное обеспечение геодезии, фотограм, кадастра, инж.из.;Браверман Борис Аронович;Нет издательства;928;1325;30;Ограничено
Собираем устройства для тестов на проникновение;Бирюков Андрей Александрович;Нет издательства;1121;1602;30;На складе
Самоучитель PHP 7;Кузнецов Максим Валерьевич;BHV : Самоучитель;508;725;30;На складе
Блокчейн. Разработка приложений;Прасти Нараян;Нет издательства;461;658;30;На складе
Java. Карманный справочник;Лигуори Роберт;Нет издательства;969;1384;30;Ограничено
Чистая архитектура. Искусство разработки программного обеспечения;Мартин Роберт С.;Питер : Библиотека программиста;887;1137;22;На складе
Объектно Ориентированное Программирование;Гаско Рик;Солон-пресс : Программирование;626;894;30;На складе
Простая Математика для Простых Программистов;Гаско Рик;Солон-пресс : Программирование;626;894;30;На складе
Простой учебник программирования;Гаско Рик;Солон-пресс : Программирование;705;1007;30;На складе
Потоковая обработка данных. Конвейер реального времени;Пселтис Эндрю Дж.;Нет издательства;999;1427;30;На складе
Java для чайников;Берд Барри;"Диалектика : Для ""чайников""";1453;2075;30;Ограничено
Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных;Седжвик Роберт;Нет издательства;2009;2576;22;На складе
Психбольница в руках пациентов. Алан Купер об интерфейсах;Купер Алан;Питер : Библиотека программиста;1209;1550;22;На складе
OpenCV и Java. Обработка изображений и компьютерное зрение;Прохоренок Николай Анатольевич;BHV : Профессиональное программирование;570;814;30;На складе
Высоконагруженные приложения. Программирование, масштабирование, поддержка;Клеппман Мартин;Питер : Бестселлеры O`Reilly;2344;3005;22;На складе
Head First. Паттерны проектирования. Обновленное юбилейное издание;Фримен Эрик;Питер : Head First (O'Reilly);1494;1915;22;На складе
Английский язык в программировании и информационных системах (СПО). Учебник;Радовель Валентина Александровна;Кнорус : Среднее профессиональное образование;1512;Нет старой цены;Нет скидки;На складе
Глубокое обучение с точки зрения практика;Паттерсон Джош;Нет издательства;1856;2651;30;На складе
Думай как программист. Креативный подход к созданию кода. C++ версия;Спрол Антон;Бомбора : Мировой компьютерный бестселлер;649;832;22;На складе
Релевантный поиск с использованием Elasticsearch и Solr;Тарнбулл Даг;Нет издательства;1285;1835;30;На складе
Программирование на языке Rust. Цветное издание;Блэнди Джим;Нет издательства;2141;3059;30;На складе
Angular 4. Быстрая разработка сверхдинамичных Web-сайтов на TypeScript и PHP;Дронов Владимир Александрович;BHV : Профессиональное программирование;680;972;30;На складе
Разработка игр и теория развлечений;Костер Рэф;Нет издательства;1142;1631;30;На складе;Site Reliability Engineering. Надежность и безотказность как в Google;Бейер Бетси;Питер : Бестселлеры O`Reilly;1630;2090;22;На складе;Akka в действии;Рестенбург Раймонд;Нет издательства;1428;2040;30;На складе;Чистый Python. Тонкости программирования для профи;Бейдер Дэн;Питер : Библиотека программиста;1168;1498;22;На складе;Теория измеримых множеств и мультимножеств;Петровский Алексей Борисович;Нет издательства;804;1149;30;На складе;Введение в распределенное моделирование в среде NetLogo;Ершов Николай Михайлович;Нет издательства;1285;1835;30;На складе;Искусственный интеллект .NET. Речь, язык и поиск;Патак Нишит;Нет издательства;1142;1631;30;На складе;Элегантный SciPy;Нуньес-Иглесиас Хуан;Нет издательства;1356;1937;30;На складе;Изучаем Java EE. Современное программирование для больших предприятий;Дашнер Себастьян;Питер : Для профессионалов;1110;1423;22;На складе;Стандартная библиотека Python 3. Справочник с примерами;Хеллман Даг;Нет издательства;3630;5186;30;Ограничено;Олимпиадное программирование;Лааксонен Антти;Нет издательства;1142;1631;30;На складе;Язык декларативного программирования XAML;Подбельский Вадим Валерьевич;Нет издательства;1070;1529;30;На складе;Математика на Python. Часть 1. Элементы линейной алгебры;Александрова Ирина Александровна;Нет издательства;417;596;30;На складе;Облачные технологии поддержки решения задач анализа безубыточности. Монография;Смирнов Денис Евгеньевич;Нет издательства;376;537;30;На складе;Прикладное программирование на С/С++: с нуля;Иванов Всеволод Борисович;Солон-пресс : Программирование;694;991;30;На складе;Программист-фанатик;Фаулер Чед;Питер : Библиотека программиста;686;879;22;На складе;C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов;Прайс Марк Дж.;Питер : Библиотека программиста;1748;2241;22;На складе;Компьютерные вирусы и антивирусы: взгляд программиста;Климентьев Константин Евгеньевич;ДМК-Пресс : Профессиональное программирование;1142;1631;30;На складе;Практическая статистика для специалистов Data Science. 50 важнейших понятий;Брюс Питер;Нет издательства;631;902;30;На складе;Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Лань : Учебники для вузов. Специальная литература;995;1422;30;На складе;Программная инженерия. Учебное пособие;Маран Микхель Михкелевич;Лань : Учебники для вузов. Специальная литература;1749;2498;30;Ограничено;Программирование на C# для начинающих. Основные сведения;Васильев Алексей Николаевич;Бомбора : Российский компьютерный бестселлер;1057;Нет старой цены;Нет скидки;На складе;Объектно-ориентированное проектирование: концепции и программный код;Гаст Хольгер;Нет издательства;3630;5186;30;Ограничено;Хакинг. Искусство эксплойта;Эриксон Джон;Нет издательства;1563;2004;22;На складе;Глубокое обучение на Python;Шолле Франсуа;Питер : Библиотека программиста;1060;1359;22;На складе;C# 7.0. Справочник. Полное описание языка;Албахари Джозеф;Нет издательства;3025;4322;30;На складе;Идеальный программист. Как стать профессионалом разработки ПО;Мартин Роберт С.;Нет издательства;660;846;22;На складе;Python. Разработка на основе тестирования;Персиваль Гарри;Нет издательства;2141;3059;30;На складе;Чистый код. Создание, анализ и рефакторинг;Мартин Роберт С.;Нет издательства;718;921;22;На складе;Qt 5.10. Профессиональное программирование на C++;Шлее Макс;BHV : В подлиннике;1376;1966;30;На складе;Теоретический минимум по Computer Science. Все что нужно программисту и разработчику;Феррейра Фило Владстон;Питер : Библиотека программиста;682;874;22;На складе;Паттерны проектирования на платформе .NET;Тепляков Сергей;Нет издательства;682;874;22;На складе;Линейная алгебра и линейное программирование для экономистов. Учебник;Швед Евгений Вадимович;Кнорус : Бакалавриат;1058;1512;30;На складе;Программирование на Ардуино. От простого к сложному;Мамичев Дмитрий Иванович;Солон-пресс : Радиоэлектроника;557;796;30;На складе;Unity для разработчика. Мобильные мультиплатформенные игры;Мэннинг Джон;Питер : Бестселлеры O`Reilly;835;1070;22;Ограничено;Запускаем Ansible;Хохштейн Лорин;Нет издательства;1428;2040;30;На складе;Современный Java. Рецепты программирования;Коузен Кен;Нет издательства;1142;1631;30;На складе;Сам себе программист. Как научиться программировать и устроиться в Ebay?;Альтхофф Кори;Бомбора : Мировой компьютерный бестселлер;610;782;22;На складе;Программное обеспечение геодезии, фотограм, кадастра, инж.из.;Браверман Борис Аронович;Нет издательства;928;1325;30;Ограничено;Собираем устройства для тестов на проникновение;Бирюков Андрей Александрович;Нет издательства;1121;1602;30;На складе;Самоучитель PHP 7;Кузнецов Максим Валерьевич;BHV : Самоучитель;508;725;30;На складе;Блокчейн. Разработка приложений;Прасти Нараян;Нет издательства;461;658;30;На складе;Java. Карманный справочник;Лигуори Роберт;Нет издательства;969;1384;30;Ограничено;Чистая архитектура. Искусство разработки программного обеспечения;Мартин Роберт С.;Питер : Библиотека программиста;887;1137;22;На складе;Объектно Ориентированное Программирование;Гаско Рик;Солон-пресс : Программирование;626;894;30;На складе;Простая Математика для Простых Программистов;Гаско Рик;Солон-пресс : Программирование;626;894;30;На складе;Простой учебник программирования;Гаско Рик;Солон-пресс : Программирование;705;1007;30;На складе;Потоковая обработка данных. Конвейер реального времени;Пселтис Эндрю Дж.;Нет издательства;999;1427;30;На складе;Java для чайников;Берд Барри;"Диалектика : Для ""чайников""";1453;2075;30;Ограничено;Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных;Седжвик Роберт;Нет издательства;2009;2576;22;На складе;Психбольница в руках пациентов. Алан Купер об интерфейсах;Купер Алан;Питер : Библиотека программиста;1209;1550;22;На складе;OpenCV и Java. Обработка изображений и компьютерное зрение;Прохоренок Николай Анатольевич;BHV : Профессиональное программирование;570;814;30;На складе;Высоконагруженные приложения. Программирование, масштабирование, поддержка;Клеппман Мартин;Питер : Бестселлеры O`Reilly;2344;3005;22;На складе;Head First. Паттерны проектирования. Обновленное юбилейное издание;Фримен Эрик;Питер : Head First (O'Reilly);1494;1915;22;На складе;Английский язык в программировании и информационных системах (СПО). Учебник;Радовель Валентина Александровна;Кнорус : Среднее профессиональное образование;1512;Нет старой цены;Нет скидки;На складе;Глубокое обучение с точки зрения практика;Паттерсон Джош;Нет издательства;1856;2651;30;На складе;Думай как программист. Креативный подход к созданию кода. C++ версия;Спрол Антон;Бомбора : Мировой компьютерный бестселлер;649;832;22;На складе;Релевантный поиск с использованием Elasticsearch и Solr;Тарнбулл Даг;Нет издательства;1285;1835;30;На складе;Программирование на языке Rust. Цветное издание;Блэнди Джим;Нет издательства;2141;3059;30;На складе;Angular 4. Быстрая разработка сверхдинамичных Web-сайтов на TypeScript и PHP;Дронов Владимир Александрович;BHV : Профессиональное программирование;680;972;30;На складе
Java SE 9. Базовый курс;Хорстманн Кей С.;Нет издательства;1814;2592;30;На складе
Программирование на C# для начинающих. Основные сведения;Васильев Алексей Николаевич;Бомбора : Российский компьютерный бестселлер;1057;Нет старой цены;Нет скидки;На складе
Алгоритмы для чайников;Массарон Лука;"Диалектика : Для ""чайников""";1453;2075;30;На складе
Объектно-ориентированное проектирование: концепции и программный код;Гаст Хольгер;Нет издательства;3630;5186;30;Ограничено
Хакинг. Искусство эксплойта;Эриксон Джон;Нет издательства;1563;2004;22;На складе
Глубокое обучение на Python;Шолле Франсуа;Питер : Библиотека программиста;1060;1359;22;На складе
C# 7.0. Справочник. Полное описание языка;Албахари Джозеф;Нет издательства;3025;4322;30;На складе
Идеальный программист. Как стать профессионалом разработки ПО;Мартин Роберт С.;Нет издательства;660;846;22;На складе
Python. Разработка на основе тестирования;Персиваль Гарри;Нет издательства;2141;3059;30;На складе
